"","Lineage code","Ancestor code","Start date","End date","Species in lineage"
"388","F1751","N133",44.65,44.6240296185785,"Acarinina boudreauxi-Acarinina bullbrooki"
"389","F30855","N240",43.85,41.8803274495212,"Globigerinatheka mexicana"
"390","F10452","F43230",23.4288804547815,22.9761281959708,"Globorotaloides suteri-Catapsydrax unicavus-Catapsydrax dissimilis"
"391","F61687","F61790",7.55074557755841,7.32857972338036,"Trilobatus bisphericus-Trilobatus sicanus-Praeorbulina curva-Praeorbulina glomerosa-Praeorbulina circularis-Orbulina suturalis-Orbulina universa"
"392","F64533","F64651",25.1088573129079,24.8921029438892,"Paragloborotalia pseudocontinuosa-Paragloborotalia nana-Paragloborotalia incognita"
"393","F88012","N52",5.7,5.48430478121153,"Globorotalia crassaformis"
"394","F7698","F7720",54.2979176766099,54.0038329469487,"Acarinina soldadoensis"
"395","F60525","F60317",1.73807662982221,1.55787701815367,"Neogloboquadrina incompta-Neogloboquadrina pachyderma"
"396","F38963","N339",3.3,2.46404211132206,"Globigerinoidesella fistulosa"
"397","F55929","F54480",51.0033273621087,50.3599832000281,"Morozovella lensiformis-Morozovella aragonensis"
"398","F73908","F74012",29.4629372702236,28.9066120197235,"Subbotina minima-Subbotina angiporoides"
"399","F39004","F39358",6.66577321035326,5.8608925219236,"Globorotalia miozea-Globorotalia miotumida-Globorotalia conomiozea-Globorotalia terminalis"
"400","F44116","F13234",32.7287023788947,32.3807097384028,"Globorotaloides suteri-Catapsydrax unicavus-Catapsydrax dissimilis"
"401","F90470","F90489",40.9835688742995,40.8104731705203,"Turborotalia frontosa-Turborotalia possagnoensis-Turborotalia pomeroli-Turborotalia cerroazulensis-Turborotalia altispiroides"
"402","F49446","F49439",6.47525487967664,5.80028560788371,"Globorotalia praemargaritae-Globorotalia primitiva-Globorotalia evoluta-Globorotalia margaritae"
"403","F13238","F44363",37.6586678082167,37.2707669108156,"Globorotaloides suteri-Catapsydrax unicavus-Catapsydrax dissimilis"
"404","F20337","F20447",31.7906914439145,29.3501313595846,"Dentoglobigerina pseudovenezuelana"
"405","F69030","F69229",47.8460234767757,46.4995334173556,"Igorina tadjikistanensis-Pearsonites lodoensis-Pearsonites broedermanni-Pearsonites anapetes"
"406","F63383","F63325",22.8474896540919,22.4415224366469,"Paragloborotalia kugleri"
"407","F74012","F74440",30.9021260315275,29.4629372702236,"Subbotina minima-Subbotina angiporoides"
"408","F49633","N25",18.3,17.441732872834,"Globorotalia praescitula-Globorotalia zealandica"
"409","F67672","F67812",53.0063226377824,52.3538964577972,"Parasubbotina inaequispira"
"410","F18337","F17926",15.1911953524042,14.8605861073895,"Dentoglobigerina baroemoenensis"
"411","F71368","F70673",44.1678232202238,43.8709358552784,"Pseudohastigerina wilcoxensis-Pseudohastigerina micra"
